x,concentration,potential
0,0.71581,0
1,0.71487,0.039473
2,0.71383,0.064832
3,0.71277,0.089479
4,0.71173,0.11341
5,0.71072,0.13664
6,0.70975,0.15915
7,0.70882,0.18096
8,0.70793,0.20206
9,0.70708,0.22245
10,0.70628,0.24214
11,0.70553,0.26113
12,0.70482,0.27941
13,0.70415,0.29699
14,0.70351,0.31388
15,0.70287,0.33006
16,0.70218,0.34555
17,0.70127,0.36034
18,0.6998,0.37443
19,0.69698,0.38784
20,0.69102,0.40056
21,0.67816,0.4126
22,0.65129,0.42397
23,0.60048,0.43471
24,0.52232,0.44485
25,0.43632,0.45448
26,0.37124,0.46367
27,0.3338,0.47249
28,0.31524,0.48097
29,0.30665,0.48912
30,0.30276,0.49696
31,0.30099,0.50448
32,0.30015,0.5117
33,0.29972,0.5186
34,0.29948,0.52519
35,0.29932,0.53147
36,0.29921,0.53744
37,0.29912,0.54309
38,0.29904,0.54843
39,0.29898,0.55345
40,0.29892,0.55816
41,0.29887,0.56254
42,0.29883,0.56661
43,0.2988,0.57035
44,0.29877,0.57377
45,0.29874,0.57687
46,0.29872,0.57965
47,0.2987,0.5821
48,0.29868,0.58422
49,0.29866,0.58601
50,0.29864,0.58747
51,0.29863,0.58861
52,0.29862,0.58941
53,0.29861,0.58989
54,0.29864,0.59003
55,0.29873,0.58984
56,0.29898,0.58932
57,0.2996,0.58847
58,0.30108,0.58729
59,0.30448,0.58578
60,0.31219,0.58395
61,0.32909,0.58178
62,0.36374,0.57927
63,0.42557,0.5764
64,0.51043,0.57311
65,0.59025,0.56934
66,0.64283,0.56503
67,0.67033,0.56015
68,0.68288,0.55471
69,0.68786,0.54872
70,0.68905,0.54221
71,0.68787,0.53522
72,0.68419,0.52778
73,0.67636,0.51995
74,0.6608,0.51179
75,0.63162,0.50337
76,0.58304,0.4948
77,0.51704,0.4862
78,0.44864,0.47773
79,0.39405,0.46956
80,0.35781,0.46187
81,0.33607,0.45483
82,0.32361,0.44866
83,0.31656,0.44357
84,0.31254,0.43983
85,0.31021,0.43771
86,0.30878,0.43757
87,0.3078,0.43978
88,0.30697,0.4448
89,0.3061,0.45314
90,0.30506,0.46541
91,0.30375,0.4823
92,0.30211,0.5046
93,0.30011,0.53324
94,0.29773,0.56928
95,0.29499,0.61396
96,0.2919,0.66869
97,0.28859,0.73511
98,0.28531,0.81511
99,0.28274,0.91087
